ts,ms,pump,manual_override,alert,reason,context,rec_ms,tTop,tMid,tBot,dT_tb,pressure_hPa,lux,irObj,irAmb,airT,airRH,tds_mV,tds_sat,micRMS,DOproxy,ml_on,ml_pred,ml_conf,ml_used,extra
1758845378.029003,122465,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1000.9,108.6,22.53,20.39,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845379.0203981,123457,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1000.9,108.6,22.47,20.41,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845380.323505,124465,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1000.9,108.6,22.43,20.37,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845381.023382,125457,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1000.9,108.6,22.51,20.39,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845382.025523,126465,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1000.9,108.6,22.63,20.39,19.5,69,5,False,0.0,9.06,True,calm,0.656,False,
1758845383.018347,127457,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1000.9,108.6,22.59,20.37,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845385.309261,128465,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1001.0,108.5,22.63,20.41,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845385.532649,129969,False,False,False,none,night,0,19.44,19.5,19.94,-0.5,1000.9,108.6,22.69,20.39,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845386.523566,130961,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1000.9,108.6,22.63,20.41,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845387.529231,131969,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1001.0,108.5,22.59,20.41,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845388.522704,132961,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1001.0,108.6,22.51,20.41,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845389.532466,133969,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1001.0,108.6,22.59,20.39,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845390.521041,134961,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1000.9,108.6,22.65,20.41,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845391.5283358,135969,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1001.0,108.5,22.63,20.41,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845392.522513,136961,False,False,False,none,night,0,19.44,19.5,19.94,-0.5,1001.0,108.5,22.65,20.41,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845393.5139542,137953,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1000.9,108.6,22.65,20.41,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845394.5205,138961,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1000.9,108.5,22.71,20.39,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845395.513721,139953,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1000.9,108.6,22.65,20.39,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
