ts,ms,pump,manual_override,alert,reason,rec_ms,tTop,tMid,tBot,dT_tb,pressure_hPa,lux,irObj,irAmb,airT,airRH,tds_mV,tds_sat,micRMS,DOproxy
1758213461.581449,75532,True,False,True,hypoxia_emerg,15000,28.06,28.06,28.0,0.06,1002.1,15.6,25.67,26.41,26.0,55,368,False,128.03,0.453
1758213462.577099,76524,True,False,True,hypoxia_emerg,15000,28.06,28.06,28.0,0.06,1002.0,15.6,25.79,26.39,25.9,55,371,False,90.45,0.453
1758213463.584741,77532,True,False,True,hypoxia_emerg,15000,28.06,28.06,27.94,0.13,1002.0,15.6,25.73,26.39,25.9,55,371,False,156.71,0.453
1758213464.577752,78524,True,False,True,hypoxia_emerg,15000,28.06,28.0,28.0,0.06,1002.0,15.6,25.79,26.39,25.9,55,359,False,4.05,0.455
1758213465.581121,79532,True,False,True,hypoxia_emerg,15000,28.06,28.06,27.94,0.13,1002.0,15.4,25.73,26.41,25.9,55,377,False,90.59,0.453
1758213466.576163,80524,True,False,True,hypoxia_emerg,15000,28.06,28.06,27.94,0.13,1002.0,15.3,25.73,26.39,25.9,55,395,False,3.36,0.453
1758213467.582904,81532,True,False,True,hypoxia_emerg,15000,28.06,28.06,27.94,0.13,1002.1,15.4,25.75,26.39,25.9,55,360,False,2.32,0.453
1758213468.575493,82524,True,False,True,hypoxia_emerg,15000,28.06,28.06,27.94,0.13,1002.1,15.5,25.69,26.41,25.9,55,376,False,2.68,0.453
1758213469.58318,83532,True,False,True,hypoxia_emerg,15000,28.06,28.06,28.0,0.06,1002.1,15.4,25.75,26.37,25.9,55,383,False,90.54,0.453
1758213470.5753448,84524,True,False,True,hypoxia_emerg,15000,28.06,28.06,28.0,0.06,1002.0,15.4,25.73,26.43,25.9,55,365,False,1.98,0.453
1758213471.5857651,85532,True,False,True,hypoxia_emerg,15000,28.06,28.06,27.94,0.13,1002.1,15.5,25.73,26.43,25.9,55,389,False,4.03,0.453
1758213472.5723379,86524,True,False,True,hypoxia_emerg,15000,28.06,28.06,28.0,0.06,1002.1,15.3,25.79,26.39,25.9,56,378,False,2.95,0.453
1758213473.5896819,87532,True,False,True,hypoxia_emerg,15000,28.06,28.06,27.94,0.13,1002.0,15.1,25.81,26.39,26.0,56,362,False,2.91,0.453
1758213474.577307,88524,True,False,True,hypoxia_emerg,15000,28.06,28.0,27.94,0.13,1002.1,15.1,25.75,26.39,25.9,56,371,False,3.18,0.455
1758213475.58387,89532,True,False,True,hypoxia_emerg,15000,28.06,28.06,27.94,0.13,1002.1,15.0,25.79,26.43,26.0,56,381,False,2.9,0.453
1758213476.610821,90524,True,False,True,hypoxia_emerg,15000,28.06,28.06,27.94,0.13,1002.1,15.1,25.79,26.41,25.9,56,360,False,2.8,0.453
1758213477.5843258,91532,True,False,True,hypoxia_emerg,15000,28.06,28.06,27.94,0.13,1002.0,15.1,25.75,26.41,25.9,55,368,False,1.76,0.453
1758213478.576279,92524,True,False,True,hypoxia_emerg,15000,28.06,28.06,27.94,0.13,1002.1,15.1,25.81,26.39,25.9,55,405,False,3.24,0.453
1758213479.601036,93532,True,False,True,hypoxia_emerg,15000,28.06,28.06,27.94,0.13,1002.0,15.1,25.75,26.39,25.9,55,348,False,2.92,0.453
1758213480.575851,94524,True,False,True,hypoxia_emerg,15000,28.06,28.06,28.0,0.06,1002.1,15.0,25.81,26.39,25.9,55,371,False,1.95,0.453
1758213481.580815,95532,True,False,True,hypoxia_emerg,15000,28.06,28.06,27.94,0.13,1002.2,15.0,25.85,26.45,26.0,55,383,False,2.47,0.453
1758213482.5891001,96524,True,False,True,hypoxia_emerg,15000,28.06,28.06,27.94,0.13,1002.0,15.1,25.79,26.41,25.9,55,345,False,1.95,0.453
1758213483.585243,97532,True,False,True,hypoxia_emerg,15000,28.06,28.06,28.0,0.06,1002.1,15.0,25.79,26.41,25.9,55,364,False,3.39,0.453
1758213484.57614,98524,True,False,True,hypoxia_emerg,15000,28.06,28.06,27.94,0.13,1002.1,15.1,25.79,26.41,26.0,55,376,False,90.56,0.453
1758213485.588841,99532,True,False,True,hypoxia_emerg,15000,28.06,28.06,28.0,0.06,1002.1,15.0,25.73,26.39,25.9,55,385,False,2.7,0.453
1758213486.577983,100524,True,False,True,hypoxia_emerg,15000,28.06,28.0,27.94,0.13,1002.2,15.0,25.81,26.43,26.0,55,353,False,2.63,0.455
1758213487.5835252,101532,True,False,True,hypoxia_emerg,15000,28.06,28.06,27.94,0.13,1002.1,15.0,25.79,26.39,25.9,55,365,False,3.36,0.453
1758213488.590456,102524,True,False,True,hypoxia_emerg,15000,28.06,28.06,28.0,0.06,1002.1,15.1,25.75,26.43,26.0,55,394,False,90.54,0.453
1758213489.5850282,103532,True,False,True,hypoxia_emerg,15000,28.06,28.06,28.0,0.06,1002.1,15.0,25.69,26.41,26.0,56,380,False,90.54,0.453
1758213490.5725791,104524,True,False,True,hypoxia_emerg,15000,28.06,28.06,27.94,0.13,1002.2,15.0,25.67,26.41,26.0,56,378,False,2.7,0.453
1758213491.5848808,105532,True,False,True,hypoxia_emerg,15000,28.06,28.06,28.0,0.06,1002.2,15.0,25.79,26.41,25.9,56,380,False,3.0,0.453
1758213492.634806,106524,True,False,True,hypoxia_emerg,15000,28.06,28.0,27.94,0.13,1002.2,15.0,25.67,26.39,25.9,56,386,False,3.36,0.455
1758213493.588348,107532,True,False,True,hypoxia_emerg,15000,28.06,28.06,27.94,0.13,1002.1,15.0,25.73,26.39,25.9,56,377,False,2.21,0.453
1758213494.5726159,108524,True,False,True,hypoxia_emerg,15000,28.06,28.06,27.94,0.13,1002.1,15.0,25.69,26.41,25.9,56,371,False,2.57,0.453
1758213495.583652,109532,True,False,True,hypoxia_emerg,15000,28.06,28.06,27.94,0.13,1002.2,14.9,25.73,26.41,25.9,56,381,False,2.95,0.453
1758213496.578667,110524,True,False,True,hypoxia_emerg,15000,28.06,28.0,27.94,0.13,1002.1,15.0,25.79,26.43,25.9,56,390,False,2.5,0.455
1758213497.581516,111532,True,False,True,hypoxia_emerg,15000,28.06,28.06,27.94,0.13,1002.1,15.0,25.69,26.41,25.9,56,369,False,1.66,0.453
1758213498.5731719,112524,True,False,True,hypoxia_emerg,15000,28.06,28.06,27.94,0.13,1002.1,15.0,25.79,26.39,25.9,56,402,False,2.42,0.453
1758213499.5865119,113532,True,False,True,hypoxia_emerg,15000,28.06,28.06,27.94,0.13,1002.0,15.0,25.79,26.41,25.9,56,377,False,2.06,0.453
1758213500.588594,114524,True,False,True,hypoxia_emerg,15000,28.06,28.06,27.94,0.13,1002.2,14.9,25.79,26.41,26.0,56,368,False,2.68,0.453
1758213501.582365,115532,True,False,True,hypoxia_emerg,15000,28.06,28.0,27.94,0.13,1002.2,15.0,25.79,26.41,25.9,56,368,False,2.84,0.455
1758213502.5764558,116524,True,False,True,hypoxia_emerg,15000,28.06,28.06,27.94,0.13,1002.1,15.0,25.81,26.41,25.9,56,353,False,3.26,0.453
1758213503.583703,117532,True,False,True,hypoxia_emerg,15000,28.06,28.06,27.94,0.13,1002.1,14.9,25.85,26.41,25.9,56,379,False,3.18,0.453
1758213504.579617,118524,True,False,True,hypoxia_emerg,15000,28.06,28.0,27.94,0.13,1002.1,14.9,25.79,26.41,25.9,56,376,False,90.57,0.455
1758213505.585619,119532,True,False,True,hypoxia_emerg,15000,28.06,28.06,27.94,0.13,1002.0,14.9,25.67,26.41,25.9,56,371,False,3.72,0.453
1758213506.5777102,120524,True,False,True,hypoxia_emerg,15000,28.06,28.06,27.94,0.13,1002.1,14.9,25.79,26.43,26.0,56,395,False,2.02,0.453
1758213507.5808,121532,True,False,True,hypoxia_emerg,15000,28.06,28.0,28.0,0.06,1002.2,14.9,25.81,26.41,26.0,56,363,False,3.87,0.455
1758213508.605045,122524,True,False,True,hypoxia_emerg,15000,28.06,28.06,27.94,0.13,1002.1,14.9,25.79,26.41,26.0,56,377,False,2.12,0.453
1758213509.583864,123532,True,False,True,hypoxia_emerg,15000,28.06,28.0,28.0,0.06,1002.2,14.9,25.69,26.41,26.0,56,369,False,4.05,0.455
1758213510.8218398,124524,True,False,True,hypoxia_emerg,15000,28.06,28.0,28.0,0.06,1002.1,14.9,25.81,26.43,26.0,57,341,False,3.3,0.455
1758213511.585012,125532,True,False,True,hypoxia_emerg,15000,28.06,28.06,28.0,0.06,1002.2,14.9,25.73,26.43,26.0,57,362,False,2.07,0.453
1758213512.767753,126524,True,False,True,hypoxia_emerg,15000,28.06,28.06,28.0,0.06,1002.0,14.9,25.81,26.43,26.0,56,372,False,3.02,0.453
1758213513.591234,127532,True,False,True,hypoxia_emerg,15000,28.06,28.0,27.94,0.13,1002.0,14.9,25.69,26.41,26.0,56,375,False,3.13,0.455
1758213514.582069,128524,True,False,True,hypoxia_emerg,15000,28.06,28.06,27.94,0.13,1002.0,14.8,25.79,26.43,25.9,56,359,False,2.41,0.453
1758213515.5845098,129532,True,False,True,hypoxia_emerg,15000,28.06,28.06,27.94,0.13,1002.1,14.9,25.73,26.41,25.9,56,379,False,4.03,0.453
1758213516.576491,130524,True,False,True,hypoxia_emerg,15000,28.06,28.0,27.94,0.13,1002.2,14.9,25.69,26.43,25.9,56,379,False,3.69,0.455
